loc,verbr,sentencer,verbr2,sentencer2,verbr3,sentencer3,strongftr,language,genus,genus2,genus3
ARE,0.417,0.529,,,,,1,Arabic ,Semitic ,,
AUS,0.881,0.929,,,,,1,English ,EGermanic ,,
AUT,0,0,,,,,0,German ,Germanic ,,
BEL,0,0,0.958,0.976,0,0,0,Dutch/French/German ,Germanic ,Romance,Germanic 
BGR,0.938,0.955,,,,,1,Bulgarian,Slavic ,,
BMU,0.881,0.929,,,,,1,English ,EGermanic ,,
BOL,0.716,0.741,,,,,1,Spanish,Romance ,,
BRA,0,0,,,,,0,Portuguese(BR) ,Romance ,,
CAN,0.769,0.875,0.958,0.976,,,1,English/French ,EGermanic ,Germanic ,
CHE,0,0,0.958,0.976,0.9,0.929,0,German/French/Italian ,Germanic ,Romance,Romance 
CHL,0.716,0.741,,,,,1,Spanish ,Romance ,,
CHN,0,0,,,,,0,Mandarin ,Chinese ,,
COL,0.716,0.741,,,,,1,Spanish ,Romance ,,
CYM,0.881,0.929,,,,,1,English ,EGermanic ,,
CYP,0.974,1,0.558,0.667,,,1,Greek/Turkish ,Greek,Turkic ,
CZE,0.464,54.5,,,,,1,Czech ,Slavic ,,
DEU,0,0,,,,,0,German ,Germanic ,,
DNK,0.1,0.125,,,,,0,Danish ,Germanic ,,
ECU,0.716,0.741,,,,,1,Spanish ,Romance ,,
EGY,0.417,0.529,,,,,1,Arabic ,Semitic ,,
ESP,0.716,0.741,1,1,,,1,Spanish/Catalan ,Romance ,,
FIN,0,0,,,,,0,Finnish ,Finnic ,,
FRA,0.958,0.976,,,,,1,French ,Romance ,,
GBR,0.881,0.929,,,,,1,English ,EGermanic ,,
GGY,0.881,0.929,,,,,1,English ,EGermanic,,
GHA,0.881,0.929,,,,,1,English ,EGermanic,,
GIB,0.881,0.929,,,,,1,English ,EGermanic ,,
GRC,0.974,1,,,,,1,Greek ,Greek ,,
HKG,0,0,0.881,0.929,,,0,Cantonese/English,Chinese ,EGermanic ,
HUN,0.25,0.323,,,,,1,Hungarian ,Ugric ,,
IDN,,,,,,,0,Indonesian ,Sundic ,,
IND,0.881,0.929,,,,,1,English/Hindi,EGermanic ,Indic,
IRL,0.881,0.929,1,1,,,1,English/Irish ,EGermanic ,Celtic,
ISL,,,,,,,0,Icelandic,Germanic,,
ISR,1,1,0.417,0.529,,,1,Hebrew/Arabic ,Semitic ,,
ITA,0.9,0.929,,,,,1,Italian ,Romance ,,
JAM,0.881,0.929,,,,,1,English/French ,EGermanic,,
JEY,0.881,0.929,0.958,0.976,,,1,English/French ,EGermanic,Romance ,
JOR,0.417,0.529,,,,,1,Arabic ,Semitic ,,
JPN,0,0,,,,,0,Japanese ,Japanese ,,
KEN,0.881,0.929,,,,,1,English ,EGermanic ,,
KOR,0.722,0.808,,,,,1,Korean ,Korean ,,
LKA,,,,,,,1,Sinhala,,Tamil,Southern Dravidian
LTU,0.932,0.972,,,,,1,Lithuanian,Baltic,,
LUX,,,,,,,0,Luxembourgish ,Germanic ,,
LVA,0.583,0.552,,,,,1,Latvian,Baltic,,
MAC,0,0,0.85,0.813,,,0,Chinese/Portugese ,Chinese,Romance ,
MAR,0.417,0.529,,,,,1,Arabic ,Semitic ,,
MEX,0.716,0.741,,,,,1,Spanish ,Romance ,,
MYS,,,,,,,0,Malay ,Sundic ,,
NGA,0.881,0.929,,,,,1,English ,EGermanic ,,
NLD,0,0,0.881,0.929,,,0,Dutch ,Germanic ,English ,EGermanic 
NOR,0.153,0.209,,,,,0,Norwegian ,Germanic ,,
NZL,0.881,0.929,,,,,1,English ,EGermanic ,,
PAK,0.881,0.929,,,,,1,English/Urdu,EGermanic ,Indic,
PAN,0.716,0.741,,,,,1,Spanish ,Romance ,,
PER,0.716,0.741,,,,,1,Spanish ,Romance ,,
PHL,0.881,0.929,0.881,0.929,,,1,Tagalog/English ,Meso-Philippine,EGermanic ,
PNG,0.881,0.929,,,,,1,English ,EGermanic ,,
POL,0.282,0.344,,,,,1,Polish ,Slavic ,,
PRI,0.716,0.741,0.769,0.875,,,1,Spanish/English ,Romance,EGermanic ,
PRT,0.85,0.813,,,,,1,Portuguese(EU) ,Romance ,,
ROU,0.961,0.951,,,,,1,Romanian ,Romance ,,
RUS,0.722,80.8,,,,,1,Russian ,Slavic ,,
SGP,0.881,0.929,0,0,,,1,English/Mandarin/Malay,EGermanic ,Chinese,Sundic 
SLV,0.716,0.741,,,,,1,Spanish ,Romance ,,
SVK,,,,,,,1,Slovak,Slavic,,
SWE,0.049,0.063,,,,,0,Swedish ,Germanic ,,
THA,,,,,,,1,Thai ,Kam-Tai ,,
TUN,0.417,0.529,0.958,0.976,,,1,Arabic ,Semitic ,French ,Romance 
TUR,0.558,0.667,,,,,1,Turkish ,Turkic ,,
TWN,0,0,,,,,0,Mandarin/Hakka ,Chinese ,,
UGA,0.881,0.929,,,,,1,English ,EGermanic ,,
UKR,,,,,,,1,Ukrainian,Slavic ,,
URY,0.716,0.741,,,,,1,Spanish ,Romance ,,
USA,0.769,0.875,,,,,1,English ,EGermanic ,,
VEN,0.716,0.741,,,,,1,Spanish ,Romance ,,
VGB,0.881,0.929,,,,,1,English ,EGermanic ,,
VNM,0.596,0.667,,,,,1,Vietnamese,Viet-Muong,,
ZAF,0.881,0.929,,,,,1,English/Zulu/Afrikaans ,EGermanic ,Bantoid,Germanic
ZWE,0.881,0.929,,,,,1,English ,EGermanic ,,
